Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Utilities,HouseStyle,YearBuilt,BedroomAbvGr,KitchenAbvGr,SalePrice
1,RL,65,8450,Pave,NA,Reg,AllPub,2Story,2003,3,1,208500
2,RL,80,9600,Pave,NA,Reg,AllPub,1Story,1976,3,1,181500
3,RL,68,11250,Pave,NA,IR1,AllPub,2Story,2001,3,1,223500
4,RL,60,9550,Pave,NA,IR1,AllPub,2Story,1915,3,1,140000
5,RL,84,14260,Pave,NA,IR1,AllPub,2Story,2000,4,1,250000
6,RL,85,14115,Pave,NA,IR1,AllPub,1.5Fin,1993,1,1,143000
7,RL,75,10084,Pave,NA,Reg,AllPub,1Story,2004,3,1,307000
8,RL,NA,10382,Pave,NA,IR1,AllPub,2Story,1973,3,1,200000
9,RM,51,6120,Pave,NA,Reg,AllPub,1.5Fin,1931,2,2,129900
10,RL,50,7420,Pave,NA,Reg,AllPub,1.5Unf,1939,2,2,118000
11,RL,70,11200,Pave,NA,Reg,AllPub,1Story,1965,3,1,129500
12,RL,85,11924,Pave,NA,IR1,AllPub,2Story,2005,4,1,345000
13,RL,NA,12968,Pave,NA,IR2,AllPub,1Story,1962,2,1,144000
14,RL,91,10652,Pave,NA,IR1,AllPub,1Story,2006,3,1,279500
15,RL,NA,10920,Pave,NA,IR1,AllPub,1Story,1960,2,1,157000
16,RM,51,6120,Pave,NA,Reg,AllPub,1.5Unf,1929,2,1,132000
17,RL,NA,11241,Pave,NA,IR1,AllPub,1Story,1970,2,1,149000
18,RL,72,10791,Pave,NA,Reg,AllPub,1Story,1967,2,2,90000
19,RL,66,13695,Pave,NA,Reg,AllPub,1Story,2004,3,1,159000
20,RL,70,7560,Pave,NA,Reg,AllPub,1Story,1958,3,1,139000
21,RL,101,14215,Pave,NA,IR1,AllPub,2Story,2005,4,1,325300
22,RM,57,7449,Pave,Grvl,Reg,AllPub,1.5Unf,1930,3,1,139400
23,RL,75,9742,Pave,NA,Reg,AllPub,1Story,2002,3,1,230000
24,RM,44,4224,Pave,NA,Reg,AllPub,1Story,1976,3,1,129900
25,RL,NA,8246,Pave,NA,IR1,AllPub,1Story,1968,3,1,154000
26,RL,110,14230,Pave,NA,Reg,AllPub,1Story,2007,3,1,256300
27,RL,60,7200,Pave,NA,Reg,AllPub,1Story,1951,3,1,134800
28,RL,98,11478,Pave,NA,Reg,AllPub,1Story,2007,3,1,306000
29,RL,47,16321,Pave,NA,IR1,AllPub,1Story,1957,2,1,207500
30,RM,60,6324,Pave,NA,IR1,AllPub,1Story,1927,1,1,68500
31,C (all),50,8500,Pave,Pave,Reg,AllPub,2Story,1920,3,1,40000
32,RL,NA,8544,Pave,NA,IR1,AllPub,1Story,1966,3,1,149350
33,RL,85,11049,Pave,NA,Reg,AllPub,1Story,2007,3,1,179900
34,RL,70,10552,Pave,NA,IR1,AllPub,1Story,1959,4,1,165500
35,RL,60,7313,Pave,NA,Reg,AllPub,1Story,2005,2,1,277500
36,RL,108,13418,Pave,NA,Reg,AllPub,2Story,2004,4,1,309000
37,RL,112,10859,Pave,NA,Reg,AllPub,1Story,1994,3,1,145000
38,RL,74,8532,Pave,NA,Reg,AllPub,1Story,1954,3,1,153000
39,RL,68,7922,Pave,NA,Reg,AllPub,1Story,1953,3,1,109000
40,RL,65,6040,Pave,NA,Reg,AllPub,1Story,1955,2,2,82000
41,RL,84,8658,Pave,NA,Reg,AllPub,1Story,1965,3,1,160000
42,RL,115,16905,Pave,NA,Reg,AllPub,1Story,1959,2,1,170000
43,RL,NA,9180,Pave,NA,IR1,AllPub,SFoyer,1983,2,1,144000
44,RL,NA,9200,Pave,NA,IR1,AllPub,1Story,1975,3,1,130250
45,RL,70,7945,Pave,NA,Reg,AllPub,1Story,1959,3,1,141000
46,RL,61,7658,Pave,NA,Reg,AllPub,1Story,2005,2,1,319900
47,RL,48,12822,Pave,NA,IR1,AllPub,1.5Fin,2003,1,1,239686
48,FV,84,11096,Pave,NA,Reg,AllPub,1Story,2006,3,1,249700
49,RM,33,4456,Pave,NA,Reg,AllPub,2Story,1920,2,3,113000
50,RL,66,7742,Pave,NA,Reg,AllPub,1Story,1966,3,1,127000
51,RL,NA,13869,Pave,NA,IR2,AllPub,2Story,1997,3,1,177000
52,RM,52,6240,Pave,NA,Reg,AllPub,1.5Fin,1934,3,1,114500
53,RM,110,8472,Grvl,NA,IR2,AllPub,1Story,1963,2,1,110000
54,RL,68,50271,Pave,NA,IR1,AllPub,1Story,1981,0,1,385000
55,RL,60,7134,Pave,NA,Reg,AllPub,SLvl,1955,3,1,130000
56,RL,100,10175,Pave,NA,IR1,AllPub,1Story,1964,3,1,180500
57,FV,24,2645,Pave,Pave,Reg,AllPub,2Story,1999,3,1,172500
58,RL,89,11645,Pave,NA,IR1,AllPub,2Story,2004,3,1,196500
59,RL,66,13682,Pave,NA,IR2,AllPub,2Story,2006,3,1,438780
60,RL,60,7200,Pave,NA,Reg,AllPub,1Story,1972,2,1,124900
61,RL,63,13072,Pave,NA,Reg,AllPub,1Story,2004,3,1,158000
62,RM,60,7200,Pave,NA,Reg,AllPub,2.5Unf,1920,3,1,101000
63,RL,44,6442,Pave,NA,IR1,AllPub,1Story,2006,2,1,202500
64,RM,50,10300,Pave,NA,IR1,AllPub,2Story,1921,3,1,140000
65,RL,NA,9375,Pave,NA,Reg,AllPub,2Story,1997,3,1,219500
66,RL,76,9591,Pave,NA,Reg,AllPub,2Story,2004,4,1,317000
67,RL,NA,19900,Pave,NA,Reg,AllPub,1Story,1970,3,1,180000
68,RL,72,10665,Pave,NA,IR1,AllPub,1Story,2003,3,1,226000
